epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.5722,0,29.3861,0,0,0,0,0,0,57.18,0,0.000405405,0.000405405,0.000405405
2,89.4155,0,27.2647,0,0,0,0,0,0,50.2096,0,0.000805795,0.000805795,0.000805795
3,149.026,0,25.2509,0,0,0,0,0,0,41.4715,0,0.00118968,0.00118968,0.00118968
4,193.248,0,23.5328,0,0,0,0,0,0,35.6263,0,0.00117575,0.00117575,0.00117575
5,284.298,0,22.106,0,0,0,0,0,0,35.0918,0,0.001151,0.001151,0.001151
